Ac,Date,Transaction,Transaction_amount,Transaction_Type,Balance
277917580,2017-01-04,Salary,35379,D,204995
277917580,2017-01-09,Fuel,24499,W,180496
277917580,2017-01-09,Salary,29118,D,209614
277917580,2017-01-14,Other,17333,W,192281
277917580,2017-01-22,Rent-payment,35500,W,156781
277917580,2017-01-29,Fuel,48913,W,107868
277917580,2017-01-30,Fuel,1217,W,106651
277917580,2017-02-07,Bank-transfered,37749,W,68902
277917580,2017-02-08,Incentive,3177,D,72079
277917580,2017-02-11,Salary,7656,D,79735
277917580,2017-02-17,Incentive,40022,D,119757
277917580,2017-02-25,Friend,1486,D,121243
277917580,2017-02-27,Fuel,17388,W,103855
277917580,2017-03-07,Other,6755,D,110610
277917580,2017-03-19,Incentive,39604,D,150214
277917580,2017-03-26,Other,9696,D,159910
277917580,2017-04-02,Fuel,7280,W,152630
277917580,2017-04-04,Other,18584,D,171214
277917580,2017-04-17,Incentive,29934,D,201148
277917580,2017-04-23,Other,34609,W,166539
277917580,2017-04-26,Other,26228,D,192767
277917580,2017-05-02,Other,14241,W,178526
277917580,2017-05-04,Online-Shopping,31576,W,146950
277917580,2017-05-14,Incentive,15348,D,162298
277917580,2017-05-18,Credit-bill,12980,W,149318
277917580,2017-06-08,Incentive,19698,D,169016
277917580,2017-06-14,Credit-bill,34895,W,134121
277917580,2017-06-16,Rent-payment,25177,W,108944
277917580,2017-06-18,Friend,18298,D,127242
277917580,2017-06-20,Online-Shopping,24204,W,103038
277917580,2017-07-07,Fuel,32433,W,70605
277917580,2017-07-19,Rent-payment,8172,W,62433
277917580,2017-07-22,Credit-bill,9466,W,52967
277917580,2017-07-26,Other,12359,W,40608
277917580,2017-08-07,Incentive,47128,D,87736
277917580,2017-08-20,Salary,8600,D,96336
277917580,2017-08-23,Incentive,46528,D,142864
277917580,2017-08-23,Credit-bill,10399,W,132465
277917580,2017-08-26,Friend,23553,D,156018
277917580,2017-08-27,Salary,28695,D,184713
277917580,2017-09-02,Credit-bill,3414,W,181299
277917580,2017-09-13,Incentive,17843,D,199142
277917580,2017-09-16,Rent-payment,9865,W,189277
277917580,2017-09-24,Bank-transfered,28118,W,161159
277917580,2017-09-30,Credit-bill,27175,W,133984
277917580,2017-10-02,Other,35790,D,169774
277917580,2017-10-07,Credit-bill,3059,W,166715
277917580,2017-10-14,Rent-payment,40872,W,125843
277917580,2017-10-23,Other,5737,D,131580
277917580,2017-10-28,Incentive,25464,D,157044
277917580,2017-12-13,Rent-payment,10628,W,146416
277917580,2017-12-27,Friend,49502,D,195918
277917580,2017-12-29,Friend,16558,D,212476
277917580,2018-01-03,Friend,8144,D,220620
277917580,2018-01-09,Rent-payment,47063,W,173557
277917580,2018-01-14,Other,27914,D,201471
277917580,2018-01-15,Incentive,5221,D,206692
277917580,2018-01-17,Other,38566,D,245258
277917580,2018-01-30,Other,43979,D,289237
277917580,2018-01-31,Incentive,14443,D,303680
277917580,2018-02-02,Friend,11248,D,314928
277917580,2018-02-04,Other,33042,D,347970
277917580,2018-02-04,Online-Shopping,30998,W,316972
277917580,2018-02-07,Fuel,30594,W,286378
277917580,2018-02-09,Other,10211,D,296589
277917580,2018-02-16,Bank-transfered,20913,W,275676
277917580,2018-02-26,Online-Shopping,37124,W,238552
277917580,2018-02-26,Incentive,10451,D,249003
277917580,2018-03-01,Salary,4811,D,253814
277917580,2018-03-08,Fuel,34534,W,219280
277917580,2018-03-11,Bank-transfered,46402,W,172878
277917580,2018-03-14,Fuel,22069,W,150809
277917580,2018-03-23,Salary,47301,D,198110
277917580,2018-03-27,Other,13379,D,211489
277917580,2018-04-02,Friend,40742,D,252231
277917580,2018-04-08,Rent-payment,17325,W,234906
277917580,2018-04-09,Incentive,28531,D,263437
277917580,2018-04-11,Friend,29271,D,292708
277917580,2018-04-16,Online-Shopping,36899,W,255809
277917580,2018-05-02,Incentive,13834,D,269643
277917580,2018-05-09,Other,45704,D,315347
277917580,2018-05-11,Rent-payment,43383,W,271964
277917580,2018-05-12,Incentive,21463,D,293427
277917580,2018-05-20,Friend,23594,D,317021
277917580,2018-05-29,Bank-transfered,26143,W,290878
277917580,2018-06-05,Incentive,34951,D,325829
277917580,2018-06-06,Fuel,15307,W,310522
277917580,2018-06-11,Incentive,31807,D,342329
277917580,2018-06-14,Fuel,15053,W,327276
277917580,2018-06-22,Incentive,15467,D,342743
277917580,2018-06-27,Rent-payment,28493,W,314250
277917580,2018-06-29,Other,4014,D,318264
277917580,2018-07-13,Online-Shopping,17208,W,301056
277917580,2018-07-16,Rent-payment,1316,W,299740
277917580,2018-08-07,Other,17297,W,282443
277917580,2018-08-07,Bank-transfered,27752,W,254691
277917580,2018-08-12,Incentive,35859,D,290550
277917580,2018-08-21,Incentive,35637,D,326187
277917580,2018-08-27,Bank-transfered,2828,W,323359
277917580,2018-08-27,Rent-payment,38390,W,284969
277917580,2018-08-27,Friend,43483,D,328452
277917580,2018-09-09,Other,30527,D,358979
277917580,2018-09-16,Other,22746,D,381725
277917580,2018-09-16,Credit-bill,4400,W,377325
277917580,2018-09-21,Bank-transfered,4436,W,372889
277917580,2018-09-24,Online-Shopping,25769,W,347120
277917580,2018-09-28,Salary,2843,D,349963
277917580,2018-09-29,Credit-bill,33919,W,316044
277917580,2018-10-03,Other,43560,D,359604
277917580,2018-10-08,Friend,24905,D,384509
277917580,2018-10-13,Online-Shopping,7847,W,376662
277917580,2018-10-14,Friend,28047,D,404709
277917580,2018-10-19,Salary,35463,D,440172
277917580,2018-10-20,Fuel,45027,W,395145
277917580,2018-10-21,Rent-payment,11437,W,383708
277917580,2018-10-22,Online-Shopping,32563,W,351145
277917580,2018-10-27,Fuel,21032,W,330113
277917580,2018-11-01,Salary,2191,D,332304
277917580,2018-11-04,Other,48817,W,283487
277917580,2018-11-04,Other,24833,D,308320
277917580,2018-11-21,Other,7765,D,316085
277917580,2018-12-06,Online-Shopping,39801,W,276284
277917580,2018-12-07,Friend,36982,D,313266
277917580,2018-12-16,Rent-payment,26465,W,286801
277917580,2018-12-18,Other,44776,D,331577
277917580,2018-12-27,Friend,37008,D,368585
277917580,2018-12-28,Bank-transfered,14646,W,353939
277917580,2018-12-29,Other,39108,D,393047
277917580,2018-12-31,Other,47328,D,440375
277917580,2019-01-10,Bank-transfered,8480,W,431895
277917580,2019-01-24,Other,45854,W,386041
277917580,2019-01-25,Fuel,17036,W,369005
277917580,2019-02-07,Bank-transfered,49785,W,319220
277917580,2019-02-10,Salary,36421,D,355641
277917580,2019-02-10,Friend,35473,D,391114
277917580,2019-02-10,Bank-transfered,36447,W,354667
277917580,2019-02-19,Friend,25182,D,379849
277917580,2019-03-05,Incentive,5656,D,385505
277917580,2019-03-09,Incentive,7923,D,393428
277917580,2019-03-10,Friend,18860,D,412288
277917580,2019-03-14,Other,42023,D,454311
277917580,2019-03-15,Friend,44364,D,498675
277917580,2019-03-16,Rent-payment,48161,W,450514
277917580,2019-03-24,Rent-payment,47735,W,402779
277917580,2019-03-28,Friend,5267,D,408046
277917580,2019-04-03,Online-Shopping,11656,W,396390
277917580,2019-04-04,Online-Shopping,15203,W,381187
277917580,2019-04-07,Incentive,12455,D,393642
277917580,2019-04-09,Other,39527,W,354115
277917580,2019-04-20,Other,19213,D,373328
277917580,2019-04-27,Rent-payment,2457,W,370871
277917580,2019-05-03,Bank-transfered,9962,W,360909
277917580,2019-05-04,Salary,6284,D,367193
277917580,2019-05-05,Other,7467,D,374660
277917580,2019-05-10,Friend,44095,D,418755
277917580,2019-05-15,Other,4633,D,423388
277917580,2019-05-19,Friend,38213,D,461601
277917580,2019-05-23,Online-Shopping,2748,W,458853
277917580,2019-05-24,Bank-transfered,42813,W,416040
277917580,2019-05-25,Incentive,35600,D,451640
277917580,2019-05-28,Rent-payment,45231,W,406409
277917580,2019-06-01,Other,26162,D,432571
277917580,2019-06-04,Online-Shopping,46346,W,386225
277917580,2019-06-08,Friend,34114,D,420339
277917580,2019-06-08,Online-Shopping,9072,W,411267
277917580,2019-06-10,Other,4314,D,415581
277917580,2019-06-12,Other,4521,W,411060
277917580,2019-06-12,Friend,13821,D,424881
277917580,2019-06-18,Bank-transfered,46346,W,378535
277917580,2019-06-20,Incentive,48538,D,427073
277917580,2019-06-28,Salary,40687,D,467760
277917580,2019-07-03,Bank-transfered,30777,W,436983
277917580,2019-07-05,Online-Shopping,47239,W,389744
277917580,2019-07-23,Online-Shopping,35082,W,354662
277917580,2019-07-26,Incentive,27081,D,381743
277917580,2019-07-27,Salary,12263,D,394006
277917580,2019-08-17,Bank-transfered,49300,W,344706
277917580,2019-08-20,Salary,5568,D,350274
277917580,2019-08-26,Other,24944,W,325330
277917580,2019-08-30,Online-Shopping,33396,W,291934
277917580,2019-09-02,Credit-bill,8094,W,283840
277917580,2019-09-14,Credit-bill,44526,W,239314
277917580,2019-09-16,Credit-bill,47355,W,191959
277917580,2019-09-19,Rent-payment,39168,W,152791
277917580,2019-09-27,Salary,33067,D,185858
277917580,2019-10-06,Fuel,22829,W,163029
277917580,2019-10-19,Credit-bill,10662,W,152367
277917580,2019-10-24,Salary,23603,D,175970
277917580,2019-11-14,Salary,16291,D,192261
277917580,2019-11-15,Online-Shopping,45312,W,146949
277917580,2019-11-19,Other,25542,D,172491
277917580,2019-11-27,Bank-transfered,31369,W,141122
277917580,2019-11-29,Bank-transfered,5618,W,135504
277917580,2019-12-01,Incentive,21624,D,157128
277917580,2019-12-03,Salary,4987,D,162115
277917580,2019-12-24,Friend,35780,D,197895
277917580,2019-12-26,Bank-transfered,21982,W,175913
277917580,2019-12-27,Incentive,3930,D,179843
277917580,2019-12-30,Incentive,9287,D,189130
277917580,2020-01-07,Credit-bill,13891,W,175239
277917580,2020-01-09,Other,44744,W,130495
277917580,2020-01-15,Online-Shopping,1581,W,128914
277917580,2020-01-19,Fuel,48780,W,80134
277917580,2020-01-24,Friend,22692,D,102826
277917580,2020-02-06,Bank-transfered,47387,W,55439
277917580,2020-02-10,Other,19169,D,74608
