bankID,Name,Age,Gender,Email,Password
713498196,Izjqai,25,M,Izjqai@gmail.com,.rOr|4
293005556,Ahvxrc,37,M,Ahvxrc@gmail.com,"%""XWBG"
525880828,Fllson,68,M,Fllson@gmail.com,"VS},.6"
996588248,Rgmxrq,73,M,Rgmxrq@gmail.com,e6g{ 
736578768,Lyaaek,67,F,Lyaaek@gmail.com,Zoi<nu
341730611,Ikqmov,65,M,Ikqmov@gmail.com,#tQ/~C
805496641,Jjcwif,76,M,Jjcwif@gmail.com,"""B>au:"
465712899,Bkkxhb,23,M,Bkkxhb@gmail.com,#NAME?
714480491,Eemoeg,53,M,Eemoeg@gmail.com,~J5rE3
266008200,Pnnxky,63,M,Pnnxky@gmail.com,+WP|<
510986018,Zjumlu,33,M,Zjumlu@gmail.com,q)$NL
735729773,Pzrtug,54,F,Pzrtug@gmail.com,~L1D5v
504608050,Ccoytt,51,F,Ccoytt@gmail.com,IAKwyA
751653015,Nxpcqk,74,M,Nxpcqk@gmail.com,/}Di(%
896862052,Qkjdmi,65,M,Qkjdmi@gmail.com,7(CVv?
883947800,Tnlbsp,27,F,Tnlbsp@gmail.com,$^*[6`
568188018,Tskalh,56,M,Tskalh@gmail.com,"6C""AF"
643192608,Yzzzvw,26,F,Yzzzvw@gmail.com,"'zo""'s"
352647778,Lrtrgc,68,F,Lrtrgc@gmail.com,"	G|(/;"
655780802,Cadglh,22,F,Cadglh@gmail.com,"Z8+t$"
